well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
005-26549,2011-0,N,ACTIVE,CASTLE ENERGY CORP 1-506,2,,,,,,,N,SNYDER BROS INC,OGO-17647,ARMSTRONG,MADISON,40.945392,-79.442086,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Never Spud Well, Permit Expired or Cancelled",,2080
005-26586,2011-0,N,ACTIVE,CASTLE ENERGY CORP 3-506,3-506,,,,,,,N,SNYDER BROS INC,OGO-17647,ARMSTRONG,MADISON,40.978391,-79.445606,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Never Spud Well, Permit Expired or Cancelled",,2082
005-26587,2011-0,N,ACTIVE,CASTLE ENERGY CORP 2-506,2-506,,,,,,,N,SNYDER BROS INC,OGO-17647,ARMSTRONG,MADISON,40.944625,-79.449357,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Never Spud Well, Permit Expired or Cancelled",,2083
065-00542,2011-0,Y,ACTIVE,FEE C 11,11,0.31,365,,,,,Y,KSM ENERGY INC,OGO-48595,JEFFERSON,ELDRED,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,2831
005-22077,2011-0,N,ACTIVE,KESPELHER K2,K2,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,REDBANK,40.954833,-79.257068,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2946
005-22078,2011-0,N,ACTIVE,KESPELHER K3,K3,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,REDBANK,40.951663,-79.260956,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2947
005-22392,2011-0,N,ACTIVE,J OSCAR MEYER 1,1,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,SOUTH BEND,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2948
005-22420,2011-0,N,ACTIVE,ALAN D WILSON 2,2,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,SOUTH BEND,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2949
005-22429,2011-0,N,ACTIVE,MAURICE M WEST 1,1,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,WAYNE,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2950
005-22430,2011-0,N,ACTIVE,MAURICE M WEST 2,2,,,,,,,N,KEYSTONE ENERGY OIL & GAS INC,OGO-24997,ARMSTRONG,COWANSHANNOCK,,,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",This is not our well,,2951
